name,vendor,category,subcategory,year,quantity_g,quantity_remaining_g,notes
Ai Lao Mountain Jade Needle White Tea,Yunnan Sourcing,White,,2026,50,50,
Early Spring Sun-Dried Buds Wild Varietal,Yunnan Sourcing,White,,2026,50,50,
2025 Ikebana Mini,white2tea,White,,2025,7,7,
Imperial Grade Pure Bud Bi Luo Chun,Yunnan Sourcing,Green,,2026,100,100,
Yunnan Green Spring Bi Luo Chun,Yunnan Sourcing,Green,,2026,100,100,
First Flush Mao Feng Yunnan Green Tea,Yunnan Sourcing,Green,,2026,50,50,
Yunnan Pure Bud Silver Strands First Flush,Yunnan Sourcing,Green,,2026,50,50,
Menghai Buddha Aroma Green Tea,Yunnan Sourcing,Green,,2026,50,50,
Ganlu,white2tea,Green,,2026,25,25,
Mao Jian King,white2tea,Green,,2026,25,25,
Wild Huang,white2tea,Yellow,,2026,25,25,
King of Duck Shit Aroma Dan Cong Oolong,Yunnan Sourcing,Oolong,Dancong,2025,25,25,
Premium AA Da Hong Pao Wu Yi Shan Rock Oolong,Yunnan Sourcing,Oolong,Yancha,2025,25,25,
Full House Dancong,white2tea,Oolong,Dancong,,25,25,
Golden Duckshit Dancong,white2tea,Oolong,Dancong,,25,25,
Peridot Tieguanyin,white2tea,Oolong,Tieguanyin,,7,7,
Kismet Tieguanyin,white2tea,Oolong,Tieguanyin,,7,7,
Dahongpao,white2tea,Oolong,Yancha,,25,25,
Winter Daphne,white2tea,Oolong,Yancha,,25,25,
No.2 Rougui,white2tea,Oolong,Yancha,,25,25,
Imperial Mojiang Golden Bud Yunnan Black Tea,Yunnan Sourcing,Black,,2026,50,50,
Feng Qing Wild Tree Purple Black Tea,Yunnan Sourcing,Black,,2025,25,25,
Butterjam Red,white2tea,Black,,2025,50,50,
2020 Waffles,white2tea,Ripe Puerh,,2020,25,25,
2018 Brown Sugar,white2tea,Ripe Puerh,,2018,25,25,
2022 Gingerbread Man Minis,white2tea,Ripe Puerh,,2022,7,7,
2025 Lumber Slut Mini,white2tea,Ripe Puerh,,2025,7,7,
2022 Lumber Minis,white2tea,Ripe Puerh,,2022,7,7,
2024 5th Wave Mini,white2tea,Ripe Puerh,,2024,7,7,
2024 Jamrock Steady Minis,white2tea,Raw Puerh,Hybrid,2024,7,7,
2022 Boat Captain Minis,white2tea,Raw Puerh,,2022,7,7,
2024 Gas Minis,white2tea,Raw Puerh,,2024,7,7,
2021 Coyote Minis,white2tea,Raw Puerh,,2021,7,7,
2022 941 Mini,white2tea,Raw Puerh,,2022,7,7,
2023 La Sombra Mini,white2tea,Raw Puerh,,2023,7,7,
